TitleID,Region,Title versions,Update versions
0004001000021000,USA,v8203 v9221,9.0.0-20 (stage2) 9.6.0-24
0004001000021100,USA,v3073,9.0.0-20 (stage2)
0004001000021400,USA,v4097,9.0.0-20 (stage2)
0004001000021900,USA,v13321 v15366 v16384 v17422 v18432 v19465 v20482 v21506,9.0.0-20 (stage2) 9.3.0-21 (stage2) 9.5.0-22 9.6.0-24 9.7.0-25 10.0.0-27 10.4.0-29 10.7.0-32
0004001000021A00,USA,v5131 v6156,9.0.0-20 (stage2) 9.6.0-24
0004003000008A02,CHN,v7168,9.0.0-20
0004003000008A02,USA,v7168,9.0.0-20 (stage2)
0004003000008A02,JPN,v7168,9.0.0-20 (stage3)
0004003000008A02,KOR,v7168,9.3.0-21 (stage1)
0004003000008A02,EUR,v7168,9.0.0-20
0004003000008A02,TWN,v7168,9.0.0-20
0004003000008F02,USA,v11272 v12288 v13330 v14336 v15360 v16404 v17415 v19456 v20480 v21504 v22528 v23552 v24578 v25600,9.0.0-20 (stage2) 9.2.0-20 9.3.0-21 (stage2) 9.4.0-21 9.5.0-22 9.6.0-24 9.7.0-25 9.8.0-25 9.9.0-26 10.1.0-27 10.2.0-28 10.3.0-28 10.4.0-29 10.6.0-31
0004003000009002,USA,v2049,9.0.0-20 (stage2)
0004003000009202,USA,v5120,9.0.0-20 (stage2)
0004003000009302,USA,v4096,9.0.0-20 (stage2)
0004003000009602,USA,v6144,9.0.0-20 (stage2)
0004003000009702,USA,v4097,9.0.0-20 (stage2)
000400300000C502,USA,v5128 v6145,9.0.0-20 (stage2) 9.6.0-24
000400300000C502,JPN,v5128 v6145,9.0.0-20 (stage3) 9.6.0-24
000400300000C502,EUR,v5128 v6145,9.0.0-20 9.6.0-24
000400300000C802,USA,v4096,9.0.0-20 (stage2)
000400300000C902,USA,v2048 v3077,9.0.0-20 (stage2) 9.3.0-21 (stage2)
000400300000CB02,USA,v3075 v4096,9.0.0-20 (stage2) 9.3.0-21 (stage2)
000400300000CC02,USA,v2048,9.0.0-20 (stage2)
0004009B00010402,CHN,v5122,9.6.0-24
0004009B00010402,USA,v5122,9.6.0-24
0004009B00010402,JPN,v5122,9.6.0-24
