TitleID,Region,Title versions,Update versions
0004001000021000,USA,v1027 v2062 v3078 v4098 v5128 v6157 v7174 v8203 v9221,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 6.0.0-11 7.0.0-13 7.2.0-17 9.0.0-20 9.6.0-24
0004001000021100,USA,v0 v1026 v2051 v3073,2.0.0-2 Initial scan 2.1.0-4 4.0.0-7 9.0.0-20
0004001000021200,USA,v1026 v2054 v2064,2.0.0-2 Initial scan 3.0.0-5 7.0.0-13
0004001000021300,USA,v0 v1026 v2051,2.0.0-2 Initial scan 4.0.0-7 6.1.0-12U
0004001000021400,USA,v0 v16 v1039 v2048 v3074 v3088 v4097,2.0.0-2 Initial scan 2.1.0-4 3.0.0-5 4.0.0-7 6.1.0-12U 7.0.0-13 9.0.0-20
0004001000021500,USA,v0 v1027 v2049 v3072 v3088,2.0.0-2 Initial scan 2.1.0-4 3.0.0-5 4.0.0-7 7.0.0-13
0004001000021700,USA,v1026 v2055,2.0.0-2 Initial scan 7.0.0-13
0004001000021800,USA,v1027 v2048 v3087 v4096 v5124 v5136,2.0.0-2 Initial scan 2.1.0-4 3.0.0-5 3.0.0-6 6.1.0-12U 7.0.0-13
0004001000021900,USA,v4 v1026 v2058 v3081 v4096 v5123 v6146 v7170 v8206 v9231 v10246 v11265 v12288 v13321 v15366 v16384 v17422 v18432 v19465 v20482 v21506,2.0.0-2 Initial scan 2.1.0-3 3.0.0-5 4.0.0-7 4.1.0-8 4.2.0-9 4.3.0-10 5.0.0-11 7.0.0-13 7.1.0-14 7.2.0-17 8.0.0-18 8.1.0-19 9.0.0-20 9.3.0-21 (stage3) 9.5.0-22 USA 9.6.0-24 9.7.0-25 10.0.0-27 10.4.0-29 10.7.0-32
0004001000021A00,USA,v4 v1035 v2051 v3073 v4109 v5131 v6156,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 7.0.0-13 9.0.0-20 9.6.0-24
0004001000021B00,USA,v0 v1034,2.0.0-2 Initial scan 3.0.0-5
0004001000021D00,USA,v0 v1028 v1040,2.0.0-2 Initial scan 2.1.0-4 7.0.0-13
0004001000021E00,USA,v0 v1027 v1040,2.0.0-2 Initial scan 2.1.0-4 7.0.0-13
0004001000021F00,USA,v0 v1024 v2049,2.0.0-2 Initial scan 3.0.0-5 6.0.0-11
0004001000024000,USA,v2048,2.0.0-2 Initial scan
0004001B00010002,CHN,v0,4.0.0-7
0004001B00010002,USA,v0,2.0.0-2 Initial scan
0004001B00010002,JPN,v0,2.0.0-2 Initial scan
0004001B00010002,KOR,v0,4.0.0-7
0004001B00010002,EUR,v0,2.0.0-2 Initial scan
0004001B00010002,TWN,v0,4.1.0-8
0004003000008A02,CHN,v4096 v5121 v6144 v7168,4.0.0-7 5.0.0-11 8.0.0-18 9.0.0-20 (stage2)
0004003000008A02,USA,v1025 v3072 v4096 v5121 v6144 v7168,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 8.0.0-18 9.0.0-20
0004003000008A02,JPN,v1025 v3072 v4096 v5121 v6144 v7168,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 8.0.0-18 9.0.0-20
0004003000008A02,KOR,v4096 v5121 v6144 v7168,4.0.0-7 5.0.0-11 8.0.0-18 9.0.0-20
0004003000008A02,EUR,v1025 v3072 v4096 v5121 v6144 v7168,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 8.0.0-18 9.0.0-20 (stage3)
0004003000008A02,TWN,v4096 v5121 v6144 v7168,4.1.0-8 5.0.0-11 8.0.0-18 9.0.0-20 (stage4)
0004003000008A03,USA,v0,2.0.0-2 Initial scan
0004003000008A03,JPN,v0,2.0.0-2 Initial scan
0004003000008A03,EUR,v0,2.0.0-2 Initial scan
0004003000008F02,USA,v1027 v2049 v4111 v5131 v6146 v7172 v8198 v9230 v11272 v13330 v15360 v16404 v17415 v19456 v20480 v21504 v22528 v23552 v24578 v25600,2.0.0-2 Initial scan 2.1.0-3 3.0.0-5 4.0.0-7 4.2.0-9 5.0.0-11 6.0.0-11 7.0.0-13 9.0.0-20 9.3.0-21 (stage3) 9.5.0-22 USA 9.6.0-24 9.7.0-25 9.8.0-25 9.9.0-26 10.1.0-27 10.2.0-28 10.3.0-28 10.4.0-29 10.6.0-31
0004003000009002,USA,v0 v1036 v2049,2.0.0-2 Initial scan 3.0.0-5 9.0.0-20
0004003000009202,USA,v1026 v2048 v3072 v4097 v5120,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 9.0.0-20
